username,repo_name,stars,repo_url
marktext,marktext,38300,https://github.com/marktext/marktext
HarisIqbal88,PlotNeuralNet,18800,https://github.com/HarisIqbal88/PlotNeuralNet
posquit0,Awesome-CV,18400,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,16200,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,10000,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,9200,https://github.com/mathjax/MathJax
billryan,resume,6400,https://github.com/billryan/resume
Wandmalfarbe,pandoc-latex-template,4900,https://github.com/Wandmalfarbe/pandoc-latex-template
garrettj403,SciencePlots,4500,https://github.com/garrettj403/SciencePlots
lervag,vimtex,4400,https://github.com/lervag/vimtex
tuna,thuthesis,3800,https://github.com/tuna/thuthesis
sb2nov,resume,3600,https://github.com/sb2nov/resume
retorquere,zotero-better-bibtex,3500,https://github.com/retorquere/zotero-better-bibtex
google-research,arxiv-latex-cleaner,3400,https://github.com/google-research/arxiv-latex-cleaner
Wookai,paper-tips-and-tricks,3400,https://github.com/Wookai/paper-tips-and-tricks
Keldos-Li,typora-latex-theme,3300,https://github.com/Keldos-Li/typora-latex-theme
rstudio,bookdown,3300,https://github.com/rstudio/bookdown
luong-komorebi,Begin-Latex-in-minutes,3200,https://github.com/luong-komorebi/Begin-Latex-in-minutes
JabRef,jabref,2900,https://github.com/JabRef/jabref
lukas-blecher,LaTeX-OCR,2900,https://github.com/lukas-blecher/LaTeX-OCR
