username,repo_name,stars,repo_url
storybookjs,storybook,76700,https://github.com/storybookjs/storybook
TryGhost,Ghost,42400,https://github.com/TryGhost/Ghost
discourse,discourse,37300,https://github.com/discourse/discourse
emberjs,ember.js,22400,https://github.com/emberjs/ember.js
text-mask,text-mask,8200,https://github.com/text-mask/text-mask
getsentry,sentry-javascript,6900,https://github.com/getsentry/sentry-javascript
szimek,sharedrop,6100,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3000,https://github.com/emberjs/data
mainmatter,ember-simple-auth,1900,https://github.com/mainmatter/ember-simple-auth
krakenjs,zoid,1900,https://github.com/krakenjs/zoid
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
FancyGrid,awesome-grid,1300,https://github.com/FancyGrid/awesome-grid
Shopify,storefront-api-examples,1000,https://github.com/Shopify/storefront-api-examples
emberjs,ember-inspector,962,https://github.com/emberjs/ember-inspector
miguelcobain,ember-paper,884,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,857,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,806,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,776,https://github.com/emberjs/rfcs
matschik,component-party,638,https://github.com/matschik/component-party
